TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
gntK	-	gntKU	-	gntKgntKU
gntK	-	gntRKU	-	gntKgntRKU
argX-hisR-leuT-proM	+	aslB	+	argX-hisR-leuT-proMaslB
ivbL	-	ivbL-ilvBN	-	ivbLivbL-ilvBN
ivbL	-	ivbL-ilvBN-uhpABC1	-	ivbLivbL-ilvBN-uhpABC1
pstS	-	pstSCA	-	pstSpstSCA
pstS	-	pstSCAB-phoU	-	pstSpstSCAB-phoU
pstS	-	pstCAB-phoU	-	pstSpstCAB-phoU
pspBCDE	+	pspABCDE	+	pspBCDEpspABCDE
pspBCDE	+	pspE	+	pspBCDEpspE
mnmA	-	hflD-purB	-	mnmAhflD-purB
yfgA	-	ispG-sroE1	-	yfgAispG-sroE1
cvpA-purF-ubiX	-	ubiX	-	cvpA-purF-ubiXubiX
nfo	+	yeiI1	+	nfoyeiI1
yfaE1	+	nrdAB-yfaE	+	yfaE1nrdAB-yfaE
rnpB	-	garPLRK-rnpB	-	rnpBgarPLRK-rnpB
degQ	+	degQS	+	degQdegQS
yjbFGH	+	yjbEFGH	+	yjbFGHyjbEFGH
yaiX	-	yaiO1	-	yaiXyaiO1
yaiX	-	insC1CD1D1	+	yaiXinsC1CD1D1
dkgAp // dkgA	+	yqhD-dkgA	+	dkgAp // dkgAyqhD-dkgA
gatR_2	-	insE5EF5F5	+	gatR_2insE5EF5F5
yceI1	-	yceJI	-	yceI1yceJI
ecpA	-	ecpBCDE	-	ecpAecpBCDE
ygiD2	-	zupT	+	ygiD2zupT
yecM-cutC1	-	micL	-	yecM-cutC1micL
queF	+	syd1	-	queFsyd1
ybaV1	+	ppiD	+	ybaV1ppiD
yhbQ1	+	ubiT-yhbS	-	yhbQ1ubiT-yhbS
rpsLG-fusA-tufA	-	tufA	-	rpsLG-fusA-tufAtufA
rpsLG-fusA-tufA	-	fusA-tufA	-	rpsLG-fusA-tufAfusA-tufA
eno	-	pyrG-eno	-	enopyrG-eno
pstSCA	-	pstSCAB-phoU	-	pstSCApstSCAB-phoU
pstSCA	-	pstB-phoU	-	pstSCApstB-phoU
pstSCA	-	pstS	-	pstSCApstS
pstSCA	-	pstCAB-phoU	-	pstSCApstCAB-phoU
rrsG-gltW-rrlG-rrfG	-	rrfG	-	rrsG-gltW-rrlG-rrfGrrfG
dsbC-recJ-prfB	-	xerD-dsbC-recJ	-	dsbC-recJ-prfBxerD-dsbC-recJ
dsbC-recJ-prfB	-	dsbC	-	dsbC-recJ-prfBdsbC
dsbC-recJ-prfB	-	xerD1	-	dsbC-recJ-prfBxerD1
rbsDACBKR	+	yieP-hsrA	-	rbsDACBKRyieP-hsrA
