TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
ftsZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	ftsQAZ	+
ftsZ	+	stfZ	-
ftsZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
pldA	+	recQ	+
intD1	-	exoD	-
yliI	+	gstB	-
yaiY1	-	yaiZ	+
yaiY2	-	yaiZ	+
wecH	+	ysaB1	-
fixABCX	+	yaaU	+
rcnAB	+	rcnR	-
rcnAB	+	rcnB1	+
insB7	+	insA-71	+
insB7	+	insA-72	+
ymfK	-	ymfJ3	-
glpQ	-	glpTQ	-
ybiO1	-	ybiN	+
ybiO2	-	ybiN	+
dapE-ypfN	+	yffB-dapE-ypfN	+
epd-pgk-fbaA	-	epd-pgk	-
epd-pgk-fbaA	-	pgk-fbaA	-
epd-pgk-fbaA	-	pgk	-
yzcX	+	cyaY1	-
focA-pflB	-	pflB	-
ampC	-	frdABCD	-
ypjD1	+	ffh	-
ydfV	+	relBE-hokD	-
rdlD	+	ldrD	-
yciCB	-	yciA1	-
hisS	-	yfgM	-
hisS	-	ispG-sroE1	-
hisS	-	ispG-sroE2	-
hisS	-	ispG-sroE3	-
hisS	-	yfGM	-
cadBA	-	cadA	-
mhpR-lacI	-	lacI	-
dicB-ydfDE-insD-intQ	+	ydfABC-dicFB-ydfD	+
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rimP-nusA-infB	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	pnp	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	sraG	+
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY-yhbC-nusA-infB	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsO	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nlpI1	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nusA-infB	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsO-pnp	-
pabA	-	yhfG-fic-pabA	-
alaA-yfbR1	+	alaA	+
alaA-yfbR1	+	yfbR	+
alaA-yfbR2	+	alaA	+
alaA-yfbR2	+	yfbR	+
gadEF	+	gadEF-mdtEF	+
gadEF	+	gadE-mdtEF	+
fkpA	-	slyX1	+
dapD	-	map-glnD-dapD	-
deaD1	-	yrbN-deaD	-
arcA	-	yjjY1	+
arcA	-	creABCD	+
arcA	-	creD	+
tyrP	+	yecH1	-
gpmM-envC-yibQ	+	yibN1	-
gpmM-envC-yibQ	+	yibD	-
gpmM-envC-yibQ	+	yibD1	-
gpmM-envC-yibQ	+	yibN-grxC-secB-gpsA	-
gadAX	-	gadY	+
gadAX	-	gadXW	-
gadAX	-	gadX	-
mdtL	+	yidZ	+
rpsA-ihfB	+	ycaI-msbA-lpxK-ycaQ1	+
rpsA-ihfB	+	ycaI-msbA-lpxK-ycaQ3	+
rpsA-ihfB	+	cmk-rpsA	+
rpsA-ihfB	+	ihfB	+
aroF-tyrA	-	pheLA	+
pyrG-eno	-	eno	-
crr	+	ptsHI-crr	+
yggM1	-	ansB	-
nuoABCEFGHIJKLMN	-	nuoMN	-
nfuA	+	gntXY	+
rhtB	-	pldB-yigL1	+
rhtB	-	pldB-yigL2	+
hisBHAFI	+	hisLGDCBHAFI	+
rfaZ-waaU	-	rfaQGPSBIJYZ-waaU	-
rfaZ-waaU	-	rfaYZ	-
rfaZ-waaU	-	rirA-rfaQGPSBIJYZ-waaU	-
dksA-yadB	-	pcnB-folk	-
dksA-yadB	-	pcnB-folK	-
dksA-yadB	-	dksA-gluQ	-
dksA-yadB	-	sfsA-dksA	-
ubiX	-	cvpA-purF-ubiX	-
ptsHI-crr	+	crr	+
nei	+	ybgIJKL-nei	+
flhDC	-	asflhD	+
flhDC	-	motRAB-cheAW	-
glgCAP	-	glgAP	-
glgCAP	-	glgBXCAP	-
nmpC	-	insH-21	-
mglBAC	-	mglAC	-
bglG	-	bglGFB	-
yidL	+	glvCBG-ysdC	-
ispDF	-	truD	-
rrsE-gltV-rrlE-rrfE	+	rrlE-rrfE	+
rrsE-gltV-rrlE-rrfE	+	yjaA2	+
nuoMN	-	nuoABCEFGHIJKLMN	-
exbD	-	exbBD	-
rseD-rpoE-rseABC	-	rpoE-rseABC	-
rseD-rpoE-rseABC	-	rseABC	-
ffs1	+	ybaZ	-
clpB	-	ryfD	-
napFDAGHBC	-	napFDAGHBC-ccmABCDEFGH	-
napFDAGHBC	-	ccmABCDEFGH	-
ymdA	+	csgC	+
ymdA	+	csgBAC	+
ymdA	+	ymdAB-clsC	+
ymdA	+	ymdAB	+
mlc	-	mlc-ynfK	-
acpT	+	nikABCDER	+
aaeXAB	-	yhcO1	-
norR1	-	norR	-
norR1	-	srlAEBD-gutM-srlR-gutQ	+
lacYA	-	lacZYA	-
lacYA	-	cynTSX	+
yhhQ1	+	dcrB1	+
yhhQ1	+	dcrB4	+
sokB	+	mokB1	-
manXYZ	+	manXYZ-yobD	+
yggE	-	argO	-
ydfABC-dicFB-ydfD	+	dicF	+
ydfABC-dicFB-ydfD	+	ydfABC	+
yohO1	+	osmF-yehYXW	-
yohO1	+	mlrA	+
yohO1	+	osmF-yehYXW1	-
yihW	+	yihV-csqR	+
csgC	+	csgBAC	+
csgC	+	ymdAB-clsC	+
csgC	+	ymdAB	+
hdeAB-yhiD	-	yhiD1	-
hdeAB-yhiD	-	yhiD2	-
dcuR	-	dcuSR	-
ycbZ1	-	matP	+
ppdAB-ygdB-ppdC-recC	-	recC	-
fepA-entD1	-	fepA-entD	-
allB	+	ybbY-glxK	+
allB	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+
aroL-yaiA-aroM	+	aroM	+
aroL-yaiA-aroM	+	yaiA-aroM	+
lgt	-	lgt-thyA	-
lgt	-	thyA	-
rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
ygbE1	-	cysDNC	-
insC2D2CD2	-	ydbA	+
atpBEFHAGDC	-	atpIBEFHAGDC	-
yjcO1	-	fdhF	-
yjcO2	-	fdhF	-
nagBACD	-	nagC	-
nagBACD	-	nagA	-
nagBACD	-	umpH	-
gabDTP	+	csiD-ygaF-gabDTP	+
mltF	+	pgpC-tadA	-
ydiL	+	ydiM1	+
ydiL	+	ydiM2	+
ryfA1	+	sseB	-
hofQ	-	hofMNOP	-
talA-tktB	+	talA	+
talA-tktB	+	tktB	+
ycgZ1	+	ycgZ-ymgA-ariR-ymgC	+
