TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
yibN1	-	yibN-grxC-secB-gpsA	-
yibN2	-	yibN-grxC-secB-gpsA	-
recF	-	dnaN-recF	-
recF	-	dnaAN-recF	-
recF	-	gyrB	-
narUZYWV	-	narU	-
narUZYWV	-	narZYWV	-
narUZYWV	-	narWV	-
tapT-patZ	+	patZ	+
hydN-hypF	-	hypF	-
yggDC	-	cmtBA-yggPF-fumE-yggC	-
sanA-yeiS1	+	cdd	+
ubiD1	+	fre	+
ubiD2	+	fre	+
ubiD2	+	rfaH1	-
ubiD2	+	rfaH2	-
clsC	+	ymdAB-clsC	+
clsC	+	ymdB-clsC	+
clsC	+	ymdAB	+
dgcQ	-	yedP	+
tag-yiaC	+	bisC1	-
tag-yiaC	+	bisC2	-
tag-yiaC	+	bisC3	-
tag-yiaC	+	bisC4	-
dnaN-recF	-	dnaAN-recF	-
dnaN-recF	-	gyrB	-
dnaN-recF	-	recF	-
argT-hisJQMP	-	hisJQMP	-
mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC2	+
rpmF-plsX-fabHDG	+	fabG-acpP	+
rpmF-plsX-fabHDG	+	yceD-rpmF	+
rpmF-plsX-fabHDG	+	fabDG-acpP	+
rpmF-plsX-fabHDG	+	plsX-fabHDG	+
rpmF-plsX-fabHDG	+	fabHDG	+
sdiA1	-	sdiA	-
sdiA2	-	sdiA	-
sdiA2	-	sdsN	+
sdiA3	-	sdiA	-
sdiA4	-	sdiA	-
sdiA4	-	sdsN	+
sdiA5	-	sdiA	-
sdiA6	-	sdiA	-
sdiA6	-	sdsN	+
sdiA7	-	sdiA	-
sdiA7	-	sdsN	+
yhdH2	+	csrD1	-
hsdMS	-	hsdRMS	-
galK	-	galETK	-
galK	-	galETKM	-
galK	-	galET	-
argH	+	argCBH	+
ilvLXG_1G_2MEDA	+	ilvA	+
ilvLXG_1G_2MEDA	+	ilvY	-
ilvLXG_1G_2MEDA	+	ilvL	+
glyU1	-	glyU	-
mreB	-	mreBCD	-
mreB	-	mreCD	-
rhoL-rho	+	rhoL	+
lon	+	clpX-lon	+
ymiA-yciX	+	acnA	+
glnAZLG	-	glnLG	-
glnAZLG	-	glnAZ	-
menA-rraA	-	rraA	-
menA-rraA	-	hslVU	-
ydiNB-aroD	+	aroD	+
lsrK	-	lsrRK	-
pmrD1	-	arnBCADTEF	+
pmrD2	-	arnBCADTEF	+
fimAICDFGH	+	fimE	+
malPQ	-	malQ	-
galETK	-	galETKM	-
galETK	-	galET	-
galETK	-	galE	-
ynfK1	-	clcB	+
ynfK2	-	clcB	+
yjbQR	+	uvrA	-
leuQPV	-	leuV1	-
yfhG	-	glrR-glnB	-
creABC	+	creABCD	+
creABC	+	rob	-
nudB-yebC-ruvC	-	yebC-ruvC	-
nudB-yebC-ruvC	-	ruvC	-
nudB-yebC-ruvC	-	yebB	+
nudB-yebC-ruvC	-	aspS	-
ldrA1	-	rdlA1	+
acrB	-	acrAB	-
nupG	+	yggX-mltC-nupG	+
nupG	+	mutY-yggX-mltC-nupG	+
cydDC	-	trxB	-
yebC-ruvC	-	ruvC	-
yebC-ruvC	-	yebB	+
rlmI1	-	yccX1	+
rlmI1	-	yccX2	+
nrdR-ribDE-nusB-thiL-pgpA	+	yajI1	-
gatYZABCD	-	gatZABCD	-
pdxK	-	yfeKS	+
uof-fur	-	fur	-
uof-fur	-	fldA-uof-fur	-
psd-mscM	-	rsgA1	-
mazE1	-	mazEFG	-
mazE1	-	relA-mazEF	-
mazE1	-	ameF	+
mazE2	-	mazEFG	-
mazE2	-	relA-mazEF	-
mazE2	-	ameF	+
galETKM	-	galETK	-
galETKM	-	galET	-
galETKM	-	galE	-
ryeA	+	sdsR	-
ryeA	+	sdsR-pphA	-
yqfA2	-	yqfB	-
glrR-glnB	-	glnB	-
glrR-glnB	-	yfhA	-
pdxB-usg-truA-dedA	-	usg-truA-dedA	-
efp	+	epmB1	-
dkgB	+	yafC1	-
ykfGH-yafW-ykfI	-	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-
ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-
zapC	+	ycbX	-
fimB	+	fimB1	+
fimB	+	fimB2	+
tpke70	-	lpxP	+
yjjY1	+	arcA	-
fliE	-	intG	+
smrB1	+	prmB-aroC-mepA-yfcA-epmC-yfcL	-
rplKAJL-rpoBC	+	rplL	+
rplKAJL-rpoBC	+	rplJL-rpoBC	+
rplKAJL-rpoBC	+	secE-nusG	+
gcvR	+	bcp	+
pnp	-	sraG	+
pnp	-	nlpI1	-
pnp	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
pnp	-	rpsO-pnp	-
yfdRST	+	ypdJ	+
phoQ	-	phoPQ	-
mreBCD	-	mreCD	-
mreBCD	-	mreB	-
serC	+	serC-aroA	+
manXYZ-yobD	+	yobD	+
gadW	-	gadXW	-
gntXY	+	bioH	-
gntXY	+	nfuA	+
yiaWV	-	yiaU1	+
yiaWV	-	yiaU2	+
yiaWV	-	yiaU3	+
edd-eda	-	eda	-
osmF-yehYXW	-	osmF-yehYXW1	-
yidP	+	yidE1	-
mreCD	-	mreBCD	-
mreCD	-	mreB	-
gadEF-mdtEF	+	gadE-mdtEF	+
gadEF-mdtEF	+	mdtEF	+
rnd	-	fadD-sroD	-
ychF	-	pth-ychF	-
frr	+	dxr-uppS-cdsA1	+
frr	+	dxr-uppS-cdsA2	+
frr	+	dxr-uppS-cdsA3	+
frr	+	dxr-uppS-cdsA4	+
htrG-cca	+	ygiM	+
ompL1	-	yihPO	-
hcp-hcr	-	lysO	-
hcp-hcr	-	hcp-hcr-poxB	-
bamB-der	-	yfgM	-
bamB-der	-	yfGM	-
flhDC	-	insA5B5AB5	-
hypBCDE-fhlA	+	hypBCDE	+
hypBCDE-fhlA	+	hypABCDE	+
yaaJ1	-	yaaA2	-
btuE	-	btuCED	-
bglGFB	-	bglG	-
rclABC	-	rclBC	-
potFGHI	+	ybjO-rlmC2	+
speAB	-	yqgB1	-
speAB	-	yqgB2	-
speAB	-	speB	-
radA-nadR	+	serB-radA	+
nanCMS	-	nanCM	-
nanCMS	-	nanS1	-
fumB	-	dcuB-fumB	-
zitB1	-	nadAp // pnuC // nadA	+
zitB2	-	nadAp // pnuC // nadA	+
hemF	+	amiA-hemF	+
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-
surA-pdxA-rsmA-apaGH	-	pdxA-rsmA	-
surA-pdxA-rsmA-apaGH	-	apaGH	-
surA-pdxA-rsmA-apaGH	-	imp-surA-pdxA	-
surA-pdxA-rsmA-apaGH	-	pdxA-rsmA-apaGH	-
surA-pdxA-rsmA-apaGH	-	rsmA-apaGH	-
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	queG	-
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC2	+
mngB	+	mngAB	+
ygiW1	-	qseBC	+
ybeQ1	-	ybeR-djlB2	+
ybeQ2	-	ybeR-djlB1	+
ybeQ2	-	ybeR-djlB2	+
ybeQ2	-	ybeR-djlB3	+
ybeQ3	-	ybeR-djlB2	+
ybeQ3	-	ybeR-djlB3	+
ybeQ4	-	ybeR-djlB2	+
ybeQ4	-	ybeR-djlB3	+
ybeQ5	-	ybeR-djlB1	+
ybeQ5	-	ybeR-djlB2	+
ybeQ5	-	ybeR-djlB3	+
ybeQ6	-	ybeR-djlB1	+
ybeQ6	-	ybeR-djlB2	+
ybeQ6	-	ybeR-djlB3	+
rlmM	-	ygdD1	-
appCBA-yccB	+	appA	+
rfaQGPSBIJYZ-waaU	-	rfaYZ	-
rfaQGPSBIJYZ-waaU	-	rirA-rfaQGPSBIJYZ-waaU	-
ydhYVWXUT	-	ydhXUT	-
insK	+	insJ1	+
lapAB	+	yciSM-pyrF-yciH	+
murQP	+	murQP-yfeW	+
murQP	+	murR	-
ydbK-ompN	-	micC	+
ydbK-ompN	-	ydbK	-
hslO1	+	yrfG-hslR	+
hslO1	+	hslR-hslO	+
hslO2	+	yrfG-hslR	+
hslO2	+	hslR-hslO	+
mpaA1	-	ycjY-ymjDC-mpaA	-
mpaA1	-	ymjC-mpaA	-
mpaA1	-	ycjG	+
mpaA2	-	ycjY-ymjDC-mpaA	-
mpaA2	-	ymjC-mpaA	-
mpaA2	-	ycjG	+
mpaA3	-	ycjY-ymjDC-mpaA	-
mpaA3	-	ymjC-mpaA	-
mpaA3	-	ycjG	+
yheSTU	+	prkB	+
yfaX-rhmD	-	yfaXWVU	-
paaJ	+	paaABCDEFGHIJK	+
tufA	-	fusA-tufA	-
rpsP-rimM-trmD-rplS	-	ffh	-
selD-topB	-	ydjA-selD-topB	-
yaiA-aroM	+	aroL-yaiA-aroM	+
actP	-	acs-yjcHG	-
actP	-	yjcH-actP	-
rplT	-	rpmI-rplT	-
rplT	-	rplT-pheM	-
rplT	-	infC-rpmI-rplT	-
yggX-mltC-nupG	+	mutY-yggX-mltC	+
yggX-mltC-nupG	+	mutY-yggX	+
yggX-mltC-nupG	+	yggX-mltC	+
yggX-mltC-nupG	+	yggX	+
yggX-mltC-nupG	+	mutY-yggX-mltC-nupG	+
lysR	+	ygeA1	-
ssrS-ygfA	+	ssrS	+
glpEGR	-	glpR	-
glpEGR	-	glpGR	-
envY-ompT	-	ompT	-
isrC-flu	+	flu	+
isrC-flu	+	isrC	+
yggI2	+	galP	+
yggI4	+	galP	+
ygcW2	-	ygcU1	-
yegW	-	yegTUV	+
ribC1	-	mdtK1	+
ribC1	-	mdtK2	+
ribC1	-	mdtK3	+
recG	+	rpoZ-spoT-trmH-recG	+
kdpFABC	-	kdpDE	-
yiaU3	+	yiaT1	-
yiaU3	+	yiaT2	-
yiaU3	+	yiaT4	-
gspAB	-	gspCDEFGHIJKLMO	+
glpR	-	glpGR	-
yjgA1	-	tldE	+
yjgA2	-	tldE	+
yjgA3	-	tldE	+
yjgA4	-	tldE	+
srkA-dsbA	+	dsbA	+
clpPX	+	clpX-lon	+
pstB-phoU	-	pstCAB-phoU	-
pstB-phoU	-	phoU	-
pstB-phoU	-	pstSCAB-phoU	-
yajD1	+	yajC-secDF	+
casABCDE12	-	casDE-ygbTF	-
casABCDE12	-	ygbF	-
gadE-mdtEF	+	mdtEF	+
rrlE-rrfE	+	rrsE-gltV-rrlE-rrfE	+
rrlE-rrfE	+	yjaA2	+
yigI	-	rarD1	-
yigI	-	rarD3	-
yigI	-	rarD4	-
yigI	-	rarD5	-
xerD-dsbC-recJ	-	dsbC	-
xerD-dsbC-recJ	-	fldB	+
xerD-dsbC-recJ	-	xerD1	-
xerD-dsbC-recJ	-	xerD2	-
dolP	+	diaA	+
tfaS	+	yfdONMLK	-
queA	+	tgt-yajC	+
aceEF	+	pdhR-aceEF-lpdA	+
yfiC1	-	nadB	+
dnaTC	-	dnaTC-yjjA	-
dnaTC	-	yjjB-dnaTC	-
dnaTC	-	yjjB-dnaTC-yjjA	-
treR	-	mgtA	+
dnaAN-recF	-	dnaN-recF	-
dnaAN-recF	-	gyrB	-
dnaAN-recF	-	recF	-
rnt-lhr	+	lhr	+
rnlB	+	rnlAB	+
yccX1	+	tusE	-
yccX2	+	tusE	-
yccX3	+	tusE	-
rfaYZ	-	rirA-rfaQGPSBIJYZ-waaU	-
ahpF	+	ahpCF	+
yeaO1	+	nimT	+
yeaO2	+	nimT	+
rhaT	-	rhaSR	+
entCEBA-ybdB	+	entH	+
glpGR	-	glpR	-
glnB	-	yfhA	-
yrfG-hslR	+	hslR-hslO	+
stfZ	-	ftsQAZ	+
stfZ	-	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
stfZ	-	ftsZ	+
stfZ	-	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
stfZ	-	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
fes-ybdZ-entF-fepE	+	fepDGC	-
fusA-tufA	-	tufA	-
mutY-yggX-mltC	+	mutY-yggX	+
mutY-yggX-mltC	+	yggX-mltC	+
mutY-yggX-mltC	+	yggX	+
mutY-yggX-mltC	+	mutY-yggX-mltC-nupG	+
infA-serW1	-	serW	-
infA-serW1	-	infA	-
infA-serW2	-	serW	-
infA-serW2	-	infA	-
ydcSTUV-patD	+	patD1	+
ydcSTUV-patD	+	patD2	+
lptB-rpoN-hpf-ptsN-yhbJ	+	lptAB	+
lptB-rpoN-hpf-ptsN-yhbJ	+	rpoN-hpf-ptsN-yhbJ-npr	+
lptB-rpoN-hpf-ptsN-yhbJ	+	yrbG-kdsDC-lptCAB	+
yeaD	+	gapA-yeaD	+
ydgC1	-	ydgI-folM	+
adeQ	-	yicN1	-
rsd	-	nudC-hemE-nfi1	+
rsd	-	nudC-hemE-nfi2	+
ssrS-ygfA	+	zapA1	+
oxyR	+	sthA	-
tauABCD	+	tauABC	+
uhpABC	-	ivbL-ilvBN-uhpABC1	-
uhpABC	-	uhpB	-
hyuA1	+	ygeY	+
hyuA2	+	ygeY	+
flgAMN	-	flgMN	-
yebW2	+	yebV1	+
yebW2	+	yebV3	+
yebW2	+	yebV4	+
nemA	+	nemRA-gloA	+
yqgB2	-	yqgC	+
waaA	+	kdtA-coaD	+
rcsDB	+	rcsB	+
ygbJK	+	ygbI1	-
ygbJK	+	ygbK	+
gadBC	-	gadC1	-
gadBC	-	gadC2	-
gadBC	-	gadC3	-
lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ldhA	-	ydbH-ynbE-ydbL1	+
pgk-fbaA	-	pgk	-
sibD	-	ibsD	+
sad-glsB-yneG1	-	sad1	-
sad-glsB-yneG1	-	yneJ1	+
sad-glsB-yneG1	-	yneJ2	+
abgR	+	mcaS	-
yrdA	+	yrdD-rimN-aroE-yrdB	-
yibD	-	yibD1	-
yibD	-	gpmM-envC-yibQ	+
ybdK1	-	ybdJ3	-
ybdK1	-	ybdJ4	-
ssrS	+	zapA1	+
ssrS	+	ssrS-ygfA	+
fumC	-	tus1	+
fumC	-	fumAC	-
dhaM	-	dhaKLM	-
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZ	+
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
sdsR	-	sdsR-pphA	-
cysG	+	nirBDC-cysG	+
tolB-pal-ybgF1	+	ybgC-tolQRA1	+
tolB-pal-ybgF1	+	ybgC-tolQRA2	+
tolB-pal-ybgF2	+	ybgC-tolQRA1	+
tolB-pal-ybgF2	+	ybgC-tolQRA2	+
sucABCD-sdhX	+	sdhCDAB-sucABCD-sdhX	+
sucABCD-sdhX	+	sucAB	+
sucABCD-sdhX	+	mngR	-
dsbD-yjdC	-	yjdC	-
dsbD-yjdC	-	cutA	-
rpsI1	-	rplM-rpsI	-
frlR	+	frlABCDR	+
sfmCD	+	sfmAC	+
ycjY	-	ycjY-ymjDC-mpaA	-
ycjY	-	pgrR	+
yniA2	+	ydiZ	+
rhtA1	-	yliM-ompX	+
dcuD	+	nanR1	-
dcuD	+	nanR2	-
metG	+	mrp	-
holC-valS	-	holC1	-
holC-valS	-	valS	-
garR	-	garPLRK-rnpB	-
ibsC	-	sibC	+
psiE	+	xylE	-
ilvIH	+	yabR	-
yddH	-	pptA1	+
yddH	-	pptA2	+
suhB	+	yfhR1	+
suhB	+	yfhR2	+
stfR-tfaR	+	ynaA-lomR	+
ygeF	+	yqeK2	-
ybeD1	-	lipB1	-
ybeD1	-	lipB2	-
ybeD2	-	lipB1	-
ybeD2	-	lipB2	-
pykA	+	yebK1	+
ygjQ1	+	ygjP	+
ygjQ2	+	ygjP	+
ygjQ3	+	ygjP	+
sraG	+	rpsO	-
sraG	+	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
sraG	+	rpsO-pnp	-
yjaG1	+	nudC-hemE-nfi1	+
yjaG1	+	nudC-hemE-nfi2	+
acs-yjcHG	-	yjcH-actP	-
yghO	-	insH-91	+
hokA1	-	insJ1	+
ubiEJB	+	esrE	+
pdxA-rsmA	-	apaGH	-
pdxA-rsmA	-	imp-surA-pdxA	-
pdxA-rsmA	-	pdxA-rsmA-apaGH	-
pdxA-rsmA	-	rsmA-apaGH	-
rplU-rpmA	-	rplU-rpmA-yhbE-obgE	-
ygcS	-	ygcRQ	-
cysJIH	-	cysH	-
nirBDC-cysG	+	cysG	+
pabC-mltG-tmk-holB-ycfH3	+	acpP-fabF	+
glnHPQ	-	glnQ	-
rpsU-dnaG-rpoD	+	rpoD	+
rpsU-dnaG-rpoD	+	rpsU	+
maeA1	-	adhP1	-
maeA2	-	adhP1	-
yfbL1	+	yfbK2	-
yfbL2	+	yfbK1	-
yfbL3	+	yfbK1	-
yfbL4	+	yfbK1	-
yfbL4	+	yfbK2	-
yfbL5	+	yfbK1	-
yfbL5	+	yfbK2	-
yciN1	-	topA	+
yciN4	-	topA	+
ychJ1	-	rssAB	+
ychJ1	-	ychJ-purU	-
ychJ1	-	purU	-
yafJ	+	ldtF	-
ecnAB	+	ecnB	+
pspG	+	qorA	-
ugpBAECQ	-	yhhA1	+
ugpBAECQ	-	yhhA2	+
ybcH1	-	nfrBA	-
rpmI-rplT	-	rplT-pheM	-
rpmI-rplT	-	thrS-infC	-
rpmI-rplT	-	infC-rpmI-rplT	-
rpmI-rplT	-	infC	-
pspABCDE	+	pspE	+
cho	+	ves	-
murA	-	ibaG-murA	-
bcp	+	gcvR	+
yqhG	+	yqhH1	+
aceK	+	aceBAK	+
aceK	+	arpA1	-
aceK	+	arpA2	-
aceK	+	arpA3	-
fucU	+	fucPIKUR	+
glcBA	-	glcDEFGBA	-
rrsH-ileV-alaV-rrlH-rrfH	+	rrlH-rrfH	+
ydeM	-	ydeNM	-
sdhCDAB-sucABCD-sdhX	+	sdhCDAB	+
sdhCDAB-sucABCD-sdhX	+	sucAB	+
sdhCDAB-sucABCD-sdhX	+	mngR	-
sdhCDAB-sucABCD-sdhX	+	sdhDAB	+
nagK-cobB1	+	lolCDE	+
yhiS	+	insH-111	-
yhiS	+	insH-112	-
ydhM	+	nemRA-gloA	+
dnaX	+	ybaB-recR	+
ryjA	-	soxR	+
yibD1	-	gpmM-envC-yibQ	+
rsmC1	-	holD-rimI-yjjG	+
dapA-nlpB	-	bamC	-
gapA-yeaD	+	gapA	+
dsbGp // dsbG	-	ahpCF	+
ileS-lspA-fkpB-ispH	+	lsp-fkpB-ispH	+
ileS-lspA-fkpB-ispH	+	ribF-ileS-lspA-fkpB-ispH	+
zapA1	+	ssrS	+
zapA1	+	ssrS-ygfA	+
relA	-	rlmD	-
relA	-	relA-mazEF	-
relA	-	ameF	+
gadY	+	gadXW	-
norR	-	srlAEBD-gutM-srlR-gutQ	+
bcsBZ	-	bcsABZC	-
malZ	+	acpH	-
yhcF1	+	yhcADE	+
yhcF2	+	yhcADE	+
yhcF3	+	yhcADE	+
sad1	-	yneJ1	+
sad1	-	yneJ2	+
mngAB	+	mngR	-
yhhA1	+	ugpBAECQ	-
yhhA1	+	ggt	-
yhhA2	+	ugpBAECQ	-
rrsB-gltT-rrlB-rrfB	+	rrlB-rrfB	+
pabB-nudL1	+	yoaH1	-
pabB-nudL2	+	yoaH1	-
ykgA	-	eaeH-insE1EF1F1	+
dsdXA	+	dsdA	+
rhaD	-	rhaBAD	-
sroH	-	yjaZ	+
casDE-ygbTF	-	ygbF	-
metY-yhbC-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
metY-yhbC-nusA-infB	-	nusA-infB	-
metY-yhbC-nusA-infB	-	metY	-
yfeO1	+	glk	-
ybjO-rlmC2	+	potFGHI	+
ygfK-ssnA	+	ssnA	+
dam-rpe-gph-trpS	-	rpe-gph-trpS	-
dam-rpe-gph-trpS	-	trpS	-
dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-
pdxY	-	pdxH-tyrS-pdxY	-
dnaTC-yjjA	-	yjjB-dnaTC	-
dnaTC-yjjA	-	yjjB-dnaTC-yjjA	-
accA	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+
gltF	+	gltBDF	+
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
insI2	+	ydbA	+
yzfA	-	tamAB-ytfP	+
tyrTV-tpr	-	tyrV-tpr	-
tyrTV-tpr	-	rttR	-
yhhH	+	rhsB1	+
yhhH	+	rhsB2	+
yhhH	+	rhsB3	+
yhhH	+	rhsB4	+
yhhH	+	rhsB5	+
yhhH	+	rhsB6	+
ibaG	-	ibaG-murA	-
insA4AB4B4	+	gfcA	-
mdaB1	+	ygiN1	+
mdaB2	+	ygiN1	+
mdaB3	+	ygiN1	+
setB1	+	yeiW	-
setB2	+	yeiW	-
yrbN-deaD	-	nlpI1	-
yijO1	-	frwD	+
yajG	-	yajG-ampG	-
yajG	-	ampG1	-
yajG	-	ampG2	-
yajG	-	ampG3	-
ruvC	-	yebB	+
yacG	-	coaE-zapD-yacG	-
aspA	-	aspA-dcuA	-
gshA	-	luxS	-
basRS	-	eptA	-
yaeF1	-	proS	-
hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
hfq-hflXKC	+	miaA-hfq-hflXKC	+
hfq-hflXKC	+	hfq-hflXKC1	+
hfq-hflXKC	+	hfq-hflXKC2	+
xylFGHR	+	xylR	+
rssAB	+	rssB	+
rssAB	+	ychJ-purU	-
slyX1	+	fkpA	-
ygbLM	+	ygbN1	+
rpe-gph-trpS	-	dam-rpe-gph-trpS	-
rpe-gph-trpS	-	trpS	-
rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-
yjbE	+	yjbEFGH	+
poxB-ltaE-ybjT1	-	ltaE-ybjT	-
poxB-ltaE-ybjT1	-	poxB	-
poxB-ltaE-ybjT1	-	hcp-hcr-poxB	-
poxB-ltaE-ybjT2	-	ltaE-ybjT	-
poxB-ltaE-ybjT2	-	poxB	-
poxB-ltaE-ybjT2	-	hcp-hcr-poxB	-
htgA	+	yaaW1	-
yjjP	-	yjjB-dnaTC	-
yjjP	-	yjjB-dnaTC-yjjA	-
rseABC	-	rseD-rpoE-rseABC	-
rseABC	-	rpoE-rseABC	-
dksA-gluQ	-	sfsA-dksA	-
csiD-ygaF-gabDTP	+	gabDTP	+
rdlB1	+	ldrB1	-
ompX	+	yliM-ompX	+
rpoD	+	rpsU-dnaG-rpoD	+
ybiB	+	dinG-ybiB	+
stfE-tfaE	-	ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	+
stfE-tfaE	-	pinE1	+
tehAB	+	ydcK1	-
ybbY-glxK	+	allB	+
ybbY-glxK	+	glxK	+
ybbY-glxK	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+
rnb	-	yciW	-
rlmD	-	relA	-
rlmD	-	relA-mazEF	-
ogt	-	abgABT-ogt	-
ygcG1	+	queE1	-
yeiL1	+	yeiL	+
zraSR	+	purHD	-
rnlAB	+	rnlB	+
rnlAB	+	yfjM1	-
rnlAB	+	rnlA	+
ydcC	+	pptA1	+
ydcC	+	pptA2	+
aceBAK	+	arpA1	-
aceBAK	+	arpA2	-
aceBAK	+	arpA3	-
yadE2	+	yadI	+
glnLG	-	glnAZLG	-
glnLG	-	glnAZ	-
hypBCDE	+	hypABCDE	+
ydcI	-	ydcJ1	+
ydcK1	-	rimL	+
bcsABZC	-	bcsQ	-
metK	+	yqgD	-
lgt-thyA	-	thyA	-
mazEFG	-	relA-mazEF	-
mazEFG	-	ameF	+
rpsO	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
rpsO	-	rpsO-pnp	-
gadC1	-	gadBC	-
gadC2	-	gadBC	-
gadC3	-	gadBC	-
pstCAB-phoU	-	pstB-phoU	-
pstCAB-phoU	-	phoU	-
pstCAB-phoU	-	pstSCAB-phoU	-
gspCDEFGHIJKLMO	+	gspAB	-
gloB1	-	yafS1	+
ralA	+	recET-ralR-rcbA-xisR-intR	-
ackA-pta1	+	ackA	+
yggX-mltC	+	yggX	+
yggX-mltC	+	mutY-yggX-mltC-nupG	+
cspB	-	cspF3	+
kdtA-coaD	+	waaA	+
ybaB-recR	+	htpG	+
hlpA-lpxD-fabZ-lpxA	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+
hlpA-lpxD-fabZ-lpxA	+	fabZ	+
hlpA-lpxD-fabZ-lpxA	+	lpxD	+
yccR	+	yccFS	-
nadB	+	rpoE-rseABC	-
creABCD	+	creD	+
creABCD	+	arcA	-
rnhA	-	dnaQ1	+
rnhA	-	dnaQ2	+
rnhA	-	dnaQ	+
rnhA	-	yafS1	+
tnaAB	+	tnaCAB	+
sdhCDAB	+	sdhDAB	+
galET	-	galETKM	-
galET	-	galE	-
galET	-	galETK	-
narZYWV	-	narWV	-
deoCABD	+	yjjJ2	+
deoCABD	+	deoABD	+
udk-dcd	-	dcd	-
yedA	+	dcm-vsr	-
hepA	-	rapA-rluA	-
hepA	-	polB	-
iraD	+	hypT1	-
yjjB-dnaTC	-	yjjB-dnaTC-yjjA	-
pheM	-	rplT-pheM	-
pheM	-	pheMST-ihfA	-
gltIJKL-sroC	-	rihA1	-
gltIJKL-sroC	-	gltI-sroC-gltJKL1	-
proC	-	adrA	+
srlR	+	srlAEBD-gutM-srlR-gutQ	+
ybhB1	-	bioA	-
creD	+	arcA	-
yajC-secDF	+	tgt-yajC	+
yodC1	-	yedI1	-
yodC1	-	yedI2	-
ligA-ypeB	-	yfeH1	+
ligA-ypeB	-	yfeH2	+
ada-alkB	-	alkB	-
secG1	-	secG-leuU	-
secG2	-	secG-leuU	-
dnaQ1	+	dnaQ	+
dnaQ2	+	dnaQ	+
